x,y,theta,speed,lookahead_distance,p_gain,i_gain,path_p_gain,path_i_gain,distance_threshold,angle_threshold
-1.562,-3.112,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.2,0.1
-1.562,-3.10665306122449,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.1013061224489795,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0959591836734695,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0906122448979594,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.085265306122449,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.079918367346939,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0745714285714287,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.069224489795918,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.063877551020408,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.058530612244898,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0531836734693876,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0478367346938775,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0424897959183674,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.037142857142857,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.031795918367347,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.026448979591837,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0211020408163263,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.015755102040816,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.010408163265306,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-3.0050612244897956,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-2.9997142857142856,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-2.9943673469387755,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-2.989020408163265,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-2.983673469387755,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
-1.562,-2.978326530612245,-1.5707963267948966,1.0,0.15,1.0,0.05,1.0,0.1,0.0,0.0
