x,y,theta,speed,lookahead_distance,p_gain,i_gain,path_p_gain,path_i_gain,distance_threshold,angle_threshold
-1.562,-2.637,-1.5707963267948966,0.9925369826572287,0.39850460125970516,3.0,0.1,0.5,0.1,0.1,0.05
-1.5485714285714287,-2.637,-1.5707963267948966,0.9924320653223002,0.3984835384950902,3.0,0.1,0.5,0.1,0.0,0.0
-1.5351428571428571,-2.637,-1.5707963267948966,0.9922307566121276,0.39844312148403366,3.0,0.1,0.5,0.1,0.0,0.0
-1.5217142857142858,-2.637,-1.5707963267948966,0.9919475222223831,0.398386249204941,3.0,0.1,0.5,0.1,0.0,0.0
-1.5082857142857145,-2.637,-1.5707963267948966,0.9915988340390378,0.39831622292626506,3.0,0.1,0.5,0.1,0.0,0.0
-1.4948571428571429,-2.637,-1.5707963267948966,0.9911995650556318,0.3982360234947375,3.0,0.1,0.5,0.1,0.0,0.0
-1.4814285714285715,-2.637,-1.5707963267948966,0.9907608669007245,0.3981478854698539,3.0,0.1,0.5,0.1,0.0,0.0
-1.468,-2.637,-1.5707963267948966,0.9902897237988991,0.3980532072573011,3.0,0.1,0.5,0.1,0.0,0.0
-1.4545714285714286,-2.637,-1.5707963267948966,0.9897896455670477,0.3979526897644086,3.0,0.1,0.5,0.1,0.0,0.0
-1.4411428571428573,-2.637,-1.5707963267948966,0.9892617667628927,0.3978465567050478,3.0,0.1,0.5,0.1,0.0,0.0
-1.4277142857142857,-2.637,-1.5707963267948966,0.9887058306224386,0.3977347519385126,3.0,0.1,0.5,0.1,0.0,0.0
-1.4142857142857144,-2.637,-1.5707963267948966,0.9881208559069726,0.3976170732565638,3.0,0.1,0.5,0.1,0.0,0.0
-1.4008571428571428,-2.637,-1.5707963267948966,0.9875055059713442,0.39749324642742684,3.0,0.1,0.5,0.1,0.0,0.0
-1.3874285714285715,-2.637,-1.5707963267948966,0.9868582639992157,0.39736296032704727,3.0,0.1,0.5,0.1,0.0,0.0
-1.374,-2.637,-1.5707963267948966,0.9861774934848727,0.39722587901291084,3.0,0.1,0.5,0.1,0.0,0.0
-1.3605714285714285,-2.637,-1.5707963267948966,0.9854614575768886,0.3970816455243206,3.0,0.1,0.5,0.1,0.0,0.0
-1.3471428571428572,-2.637,-1.5707963267948966,0.9847083294511534,0.39692988387394634,3.0,0.1,0.5,0.1,0.0,0.0
-1.3337142857142859,-2.637,-1.5707963267948966,0.9839161876500946,0.39677019800385105,3.0,0.1,0.5,0.1,0.0,0.0
-1.3202857142857143,-2.637,-1.5707963267948966,0.9830830111804575,0.39660217068099013,3.0,0.1,0.5,0.1,0.0,0.0
-1.306857142857143,-2.637,-1.5707963267948966,0.9822066743571394,0.39642536232832315,3.0,0.1,0.5,0.1,0.0,0.0
-1.2934285714285716,-2.637,-1.5707963267948966,0.9812849413799257,0.39623930978739114,3.0,0.1,0.5,0.1,0.0,0.0
-1.28,-2.637,-1.5707963267948966,0.9803154606292863,0.3960435250079034,3.0,0.1,0.5,0.1,0.0,0.0
-1.2665714285714287,-2.637,-1.5707963267948966,0.9792957586666838,0.3958374936595439,3.0,0.1,0.5,0.1,0.0,0.0
-1.2531428571428571,-2.637,-1.5707963267948966,0.9782232339240838,0.39562067366083564,3.0,0.1,0.5,0.1,0.0,0.0
-1.2397142857142858,-2.637,-1.5707963267948966,0.9770951500665676,0.3953924936195057,3.0,0.1,0.5,0.1,0.0,0.0
-1.2262857142857144,-2.637,-1.5707963267948966,0.9759086290111151,0.3951523511783505,3.0,0.1,0.5,0.1,0.0,0.0
-1.2128571428571429,-2.637,-1.5707963267948966,0.9746606435837448,0.3948996112601267,3.0,0.1,0.5,0.1,0.0,0.0
-1.1994285714285715,-2.637,-1.5707963267948966,0.973348009796277,0.3946336042044625,3.0,0.1,0.5,0.1,0.0,0.0
-1.186,-2.637,-1.5707963267948966,0.9719673787230181,0.39435362378921146,3.0,0.1,0.5,0.1,0.0,0.0
-1.1725714285714286,-2.637,-1.5707963267948966,0.9705152279566377,0.3940589251280347,3.0,0.1,0.5,0.1,0.0,0.0
-1.1591428571428573,-2.637,-1.5707963267948966,0.9689878526214427,0.3937487224352999,3.0,0.1,0.5,0.1,0.0,0.0
-1.145714285714286,-2.637,-1.5707963267948966,0.9673813559211198,0.39342218664861694,3.0,0.1,0.5,0.1,0.0,0.0
-1.1322857142857143,-2.637,-1.5707963267948966,0.9656916391968287,0.3930784428984787,3.0,0.1,0.5,0.1,0.0,0.0
-1.1188571428571428,-2.637,-1.5707963267948966,0.9639143914702846,0.3927165678135385,3.0,0.1,0.5,0.1,0.0,0.0
-1.1054285714285714,-2.637,-1.5707963267948966,0.9620450784451497,0.39233558664901147,3.0,0.1,0.5,0.1,0.0,0.0
-1.092,-2.637,-1.5707963267948966,0.9600789309386717,0.39193447022453576,3.0,0.1,0.5,0.1,0.0,0.0
-1.0785714285714287,-2.637,-1.5707963267948966,0.9580109327140556,0.3915121316565413,3.0,0.1,0.5,0.1,0.0,0.0
-1.0651428571428572,-2.637,-1.5707963267948966,0.9558358076825284,0.3910674228687485,3.0,0.1,0.5,0.1,0.0,0.0
-1.0517142857142858,-2.637,-1.5707963267948966,0.9535480064424405,0.39059913086282017,3.0,0.1,0.5,0.1,0.0,0.0
-1.0382857142857143,-2.637,-1.5707963267948966,0.9511416921210646,0.39010597372940903,3.0,0.1,0.5,0.1,0.0,0.0
-1.024857142857143,-2.637,-1.5707963267948966,0.9486107254829674,0.38958659637784615,3.0,0.1,0.5,0.1,0.0,0.0
