x,y,theta,speed,lookahead_distance,p_gain,i_gain,path_p_gain,path_i_gain,distance_threshold,angle_threshold
-1.562,-3.112,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.1,0.05
-1.5665701322089014,-3.0964077842284543,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.5711402644178027,-3.0808155684569085,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.575710396626704,-3.065223352685363,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.5802805288356054,-3.0496311369138174,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.5848506610445068,-3.0340389211422716,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.589420793253408,-3.018446705370726,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.5939909254623092,-3.00285448959918,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.5985610576712106,-2.987262273827634,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.603131189880112,-2.971670058056089,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6077013220890133,-2.956077842284543,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6122714542979146,-2.9404856265129973,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.616841586506816,-2.9248934107414515,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6214117187157173,-2.9093011949699057,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6259818509246187,-2.8937089791983603,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.63055198313352,-2.8781167634268146,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6351221153424214,-2.8625245476552688,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6396922475513227,-2.846932331883723,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.644262379760224,-2.831340116112177,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6488325119691252,-2.8157479003406314,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6534026441780265,-2.800155684569086,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6579727763869279,-2.7845634687975402,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6625429085958292,-2.7689712530259945,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6671130408047306,-2.7533790372544487,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.671683173013632,-2.737786821482903,0.0,1.0,0.21213203435596426,1.0,0.05,0.1,0.05,0.0,0.0
-1.6762533052225332,-2.7221946057113575,0.0,1.0000446113427728,0.2121367660506419,1.0,0.05,0.1,0.05,0.0,0.0
-1.6808234374314346,-2.7066023899398117,0.0,1.000200988496767,0.2121533513342519,1.0,0.05,0.1,0.05,0.0,0.0
