x,y,theta,speed,lookahead_distance,p_gain,i_gain,angle_threshold,path_p_gain,path_i_gain
-2.924,-2.637,-3.141592653589793,1.4703436516671684,0.29701956013035585,0.1,0.0,0.1,0.009999999999999998,0.05
-2.924335159944417,-2.6239993221560307,-3.141592653589793,1.466382694697611,0.2966192200142409,0.1,0.0,0.0,0.009999999999999998,0.05
-2.924670319888834,-2.610998644312062,-3.141592653589793,1.4588663753175295,0.29585804454003234,0.1,0.0,0.0,0.009999999999999998,0.05
-2.9250054798332514,-2.5979979664680926,-3.141592653589793,1.448485593275315,0.2948035542467541,0.1,0.0,0.0,0.009999999999999998,0.05
-2.9253406397776684,-2.5849972886241237,-3.141592653589793,1.4360334217717061,0.2935336527662584,0.1,0.0,0.0,0.009999999999999998,0.05
-2.9256757997220855,-2.5719966107801544,-3.141592653589793,1.4222368895538136,0.29212020363752456,0.1,0.0,0.0,0.009999999999999998,0.05
-2.9260109596665025,-2.5589959329361855,-3.141592653589793,1.4076573345510477,0.2906190635059284,0.1,0.0,0.0,0.009999999999999998,0.05
-2.92634611961092,-2.5459952550922162,-3.141592653589793,1.3926685186568752,0.2890676583767415,0.1,0.0,0.0,0.009999999999999998,0.05
-2.926681279555337,-2.5329945772482474,-3.141592653589793,1.3774877693751317,0.2874878539390976,0.1,0.0,0.0,0.009999999999999998,0.05
-2.927016439499754,-2.519993899404278,-3.141592653589793,1.362226263541571,0.28589084597533765,0.1,0.0,0.0,0.009999999999999998,0.05
-2.927351599444171,-2.5069932215603092,-3.141592653589793,1.3469342766000887,0.28428165012185597,0.1,0.0,0.0,0.009999999999999998,0.05
-2.927686759388588,-2.49399254371634,-3.141592653589793,1.3316319702345494,0.2826621980634711,0.1,0.0,0.0,0.009999999999999998,0.05
-2.9280219193330055,-2.480991865872371,-3.141592653589793,1.316326530612245,0.2810330796129429,0.1,0.0,0.0,0.009999999999999998,0.05
-2.9283570792774225,-2.467991188028402,-3.141592653589793,1.3010204081632653,0.2793943887943992,0.1,0.0,0.0,0.009999999999999998,0.05
