x,y,theta,speed,lookahead_distance,p_gain,i_gain,angle_threshold
-1.562,-3.112,-1.5707963267948966,0.9706432107412375,0.13933005495880907,1.0,0.0,0.05
-1.562,-3.1068979591836734,-1.573154879838132,0.966722263438039,0.13904835586500394,1.0,0.0,0.0
-1.562,-3.101795918367347,-1.5755134328813678,0.9592818664759384,0.13851222808661612,1.0,0.0,0.0
-1.562,-3.0966938775510204,-1.5778719859246033,0.9490059408179886,0.13776835201293428,1.0,0.0,0.0
-1.562,-3.091591836734694,-1.5802305389678388,0.9366795488245172,0.1368707089792785,1.0,0.0,0.0
-1.562,-3.0864897959183675,-1.5825890920110746,0.9230223755179164,0.13586922944639943,1.0,0.0,0.0
-1.562,-3.0813877551020408,-1.58494764505431,0.9085900887475017,0.13480282554512732,1.0,0.0,0.0
-1.562,-3.0762857142857145,-1.5873061980975456,0.8937526750340786,0.13369761965226445,1.0,0.0,0.0
-1.562,-3.071183673469388,-1.589664751140781,0.8787252666541707,0.13256887015088956,1.0,0.0,0.0
-1.562,-3.066081632653061,-1.5920233041840168,0.8636179174451916,0.13142434458236354,1.0,0.0,0.0
-1.562,-3.060979591836735,-1.5943818572272523,0.8484803950182694,0.13026744758520983,1.0,0.0,0.0
-1.562,-3.055877551020408,-1.5967404102704879,0.8333326574038973,0.12909939251630095,1.0,0.0,0.0
-1.562,-3.050775510204082,-1.5990989633137236,0.8181818181818181,0.12792042981336627,1.0,0.0,0.0
-1.562,-3.045673469387755,-1.601457516356959,0.803030303030303,0.12673044646258477,1.0,0.0,0.0
-1.562,-3.0405714285714285,-1.6038160694001946,0.7878787878787878,0.12552918289216958,1.0,0.0,0.0
-1.562,-3.035469387755102,-1.6061746224434303,0.7727272727272727,0.1243163121016122,1.0,0.0,0.0
-1.562,-3.0303673469387755,-1.6085331754866659,0.7575757575757576,0.12309149097933275,1.0,0.0,0.0
-1.562,-3.0252653061224493,-1.6108917285299014,0.7424242424242425,0.12185435916898851,1.0,0.0,0.0
-1.562,-3.0201632653061226,-1.613250281573137,0.7272727272727274,0.12060453783110546,1.0,0.0,0.0
-1.562,-3.015061224489796,-1.6156088346163726,0.7121212121212123,0.11934162828797101,1.0,0.0,0.0
-1.562,-3.0099591836734696,-1.6179673876596081,0.6969696969696971,0.11806521053804947,1.0,0.0,0.0
-1.562,-3.004857142857143,-1.6203259407028439,0.6818181818181819,0.11677484162422845,1.0,0.0,0.0
-1.562,-2.9997551020408166,-1.6226844937460794,0.6667342596102617,0.11547590741018332,1.0,0.0,0.0
-1.562,-2.99465306122449,-1.6250430467893149,0.651821208428566,0.11417716132647247,1.0,0.0,0.0
-1.562,-2.9895510204081632,-1.6274015998325504,0.6374298130053128,0.1129096818705387,1.0,0.0,0.0
-1.562,-2.984448979591837,-1.6297601528757861,0.6244505440919245,0.11175424323862826,1.0,0.0,0.0
-1.562,-2.9793469387755103,-1.6321187059190216,0.6148527152440157,0.1108920840496756,1.0,0.0,0.0
-1.562,-2.974244897959184,-1.6344772589622572,0.6123934750383301,0.11067009307291019,1.0,0.0,0.0
-1.562,-2.9691428571428573,-1.6368358120054929,0.6231553347962625,0.11163828508144172,1.0,0.0,0.0
-1.562,-2.9640408163265306,-1.6391943650487284,0.6552350473743104,0.11447576576501338,1.0,0.0,0.0
-1.562,-2.9589387755102043,-1.641552918091964,0.7168576460334486,0.11973785082700028,1.0,0.0,0.0
-1.562,-2.9538367346938776,-1.6439114711351996,0.8128261171639131,0.12750106800838282,1.0,0.0,0.0
-1.562,-2.948734693877551,-1.6462700241784352,0.9405056919615247,0.1371499684259187,1.0,0.0,0.0
-1.562,-2.9436326530612247,-1.6486285772216707,1.0876505494582451,0.14748901989356666,1.0,0.0,0.0
-1.562,-2.938530612244898,-1.6509871302649064,1.2341118014706967,0.15710581157109987,1.0,0.5,0.0
-1.562,-2.9334285714285717,-1.653345683308142,1.3574509074837129,0.16476959109518438,1.0,0.4642857142857143,0.0
